Text,label
hello friends naenu ee vu ki poorti hd tv gurimchi naa anubhavaanni share cheyali anukumtunanaanu friends ee tv naaku mamchi experience kaligimdi ekkuva features vunnae adi use cheyataniki chaalaa peddadi remote lo ekkuva functions laevu daani skreen peddadi meeru aanamdimchavachchu ee tv ki mamchi sound equipment laevu mee eyes haani kaligistumdi ee electronics parikaram chaalaa electricity ni viniyogistumdi meeru tv nu buy chaeyavachchu ee company laedaa ee model tappa meeru ee tv ni konitae meeru mee dabbunu waste chaesukumtaaru chivariki vaela roopaayala electricity bill chellimchaali ee tv ni meeku soochimchamdi naaku ishtamledu dhanyavaadaalu friends bad experience,negative
samsung phone lu appudappudu chaalaa mamchi wounderful ga work chyestaye naenu chaalaa samsung phones use chyesanu aa anubhavaanni naenu meeku soochistunnaanuy deenini everyone ki suggest chyestanu,positive
naenu ee camera valla samtoshamgaa laenu emdukamtae adhika naanyamaina image ivvadu market lo labhimchae itara camera polistae ee camera cost chaalaa ekkuvagaa umdi adi chaalaa chaalaa ordinarymainadi vaadataaniki saukaryavamtamgaa ledu ee camera meeda cheyyi wasteae naa dabbu samayam waste chaesaanaemonani anipistumdi deenito poortigaa dabbu waste chaalaamamdi ee camera ni ishtapadaru naaku ishtamledu bad experience,negative
cost processor media tech photo amta baagoledu waste time useless ee laavu phone takkuva cost umdaali daani cost yekkuva umdi ee budget itara processor palu rakaala phones pomdavachchu bad experience bad experience,negative
amdarikee hello naenu dslr lo vistrtamaina kolata choosaanu ayinaa naenu special expert kaadu instead naa pillala ee camera naenu mode lo laedaa auto mode lo umchinappudu worst ga umdi,negative
chettagaa umdi emdukoo panikiraadu photo lu mamchigaa raavu choodataaniki baagoledu naaku idamtae dvaesham bad experience,negative
xiomi numdi chaukaina madhyasthelloi head set pradarsanalo chaukagaa umdi phone lo display excellent umdi yekkuva mamchi resolution ee display lo clarity mamchi ga umdi ee phonelo bhaareegaa vaedekkae samasyahu meeru dabbu worth deenini buy chaeyavachchu deenini everyone ki suggest chyestanu,positive
naenu ippativaraku choosina chetta camera lalo okkati naenu iteevalae delhi lo naa imtiki sameepamloni vellaanu naenu padihaenu numdi irave shops vellaanu naenu akkada kalisina everyone deenini buy cheyaddu ani cheppaadu emdukamtae ee camera professional photography ki uddaesimchinadi kaadu house lo picturenu click chaeyadaaniki maatramae worst experience ever chetta phone bad experience,negative
picture quality baagumdi ee camera nu upayogimchadam kashtam inka cost chaalaa baagumdi umdi middele class people chaalaa pedda mottam shutter speed chaalaa slow gaa umdi battery life span baagumdi battery backup chaalaa takkuvagaa umdi deenini everyone ki suggest chyestanu,positive
lopala mee light choopunu teevramgaa prabhaavitam chaestumdi nammakapotae meeru konaanni maarchakumdaa nimishaalu lcd mumdu koorchuni choodamdi radiation send chaeyadu lcds ki instead lanu buy chaeyamani naenu suggest chaestunnaanu tv deenini everyone ki suggest chyestanu,positive
